key,value,year,category,latitude,longitude,country
Bangui,80,2022,loc,4.3635118,18.5835913,Central African Republic
Centrafrique,122,2022,loc,7.0323598,19.9981227,Central African Republic
République,18,2022,loc,48.8680343,2.3650877,France
Oubangui-Chari,2,2022,loc,45.623482800000005,-1.0243159401781696,France
République française,5,2022,loc,46.603354,1.8883335,France
République centrafricaine,68,2022,loc,7.0323598,19.9981227,Central African Republic
Fédération de Russie,91,2022,loc,64.6863136,97.7453061,Russia
Univers,3,2022,loc,52.1970937,20.977775,Poland
Afghanistan,90,2022,loc,33.7680065,66.2385139,Afghanistan
Port Harcourt,2,2022,loc,4.7676576,7.0188527,Nigeria
Lekki,3,2022,loc,51.5387497,-0.0769400268292685,United Kingdom
Bucarest,10,2022,loc,44.4361414,26.1027202,Romania
MARE,3,2022,loc,36.4814643,37.1968431,Syria
Sahel,114,2022,loc,14.0279165,-0.7717775666263393,Burkina Faso
Rosselkhozbank,3,2022,loc,55.7080022,37.6604973,Russia
Pologne,160,2022,loc,52.215933,19.134422,Poland
Etats,14,2022,loc,39.7837304,-100.445882,United States
Lodz,4,2022,loc,51.7728245,19.478485931307937,Poland
Saint-Siège,7,2022,loc,47.3796139,7.3577778,Switzerland
pierre de Rosette,2,2022,loc,43.62672309600869,3.8431979029853753,France
Rosette,1,2022,loc,46.1655051,9.8190471,Italy
British Museum,9,2022,loc,51.51929365,-0.1280177217849472,United Kingdom
Madrid,42,2022,loc,40.4167047,-3.7035825,Spain
Bruxelles,125,2022,loc,50.8465573,4.351697,Belgium
Berlin,110,2022,loc,52.510885,13.3989367,Germany
Rome,17,2022,loc,41.8933203,12.4829321,Italy
Mexique,29,2022,loc,23.6585116,-102.0077097,Mexico
Champs-Élysées,8,2022,loc,48.8707573,2.3053312,France
Croatie,34,2022,loc,45.3658443,15.6575209,Croatia
Canada Canada,4,2022,loc,61.0666922,-107.991707,Canada
Costa Rica,3,2022,loc,10.2735633,-84.0739102,Costa Rica
Masaka-Kabuga,1,2022,loc,-0.4044495999999999,31.53676555,Uganda
République de Chine,3,2022,loc,23.9739374,120.9820179,Taiwan
Ceinture,4,2022,loc,46.001411254185584,-0.6546389229969443,France
Route,3,2022,loc,43.8166469,-0.0779779,France
district de Butaro,1,2022,loc,-1.39525855,29.84811137651532,Rwanda
Reggane,1,2022,loc,26.7207267,0.1751507,Algeria
Caraïbes,6,2022,loc,15.0000001,-75.0000001,Caribbean Sea
Royaume,35,2022,loc,54.7023545,-3.2765753,United Kingdom
Etat,116,2022,loc,36.5748441,139.2394179,Japan
Capitole,10,2022,loc,41.8925778,12.4822154,Italy
État français,4,2022,loc,47.7900924,3.565657,France
Bejaïa,5,2022,loc,36.7511783,5.0643687,Algeria
Sidi Aïch,1,2022,loc,34.7328584,8.7827624,Tunisia
République islamique,10,2022,loc,32.6475314,54.5643516,Iran
Iran,168,2022,loc,32.6475314,54.5643516,Iran
Téhéran,55,2022,loc,35.6892523,51.3896004,Iran
États-Unis-Afrique,20,2022,loc,38.9200111,-77.06063803350443,United States
Sotchi,44,2022,loc,43.5854823,39.723109,Russia
Moyen-Orient,88,2022,loc,48.8479455,2.3518603,France
Atlantico,1,2022,loc,10.6773422,-74.9718666,Colombia
Sorbonne,3,2022,loc,0.4038698,9.454807,Gabon
Varsovie,34,2022,loc,52.2319581,21.0067249,Poland
Lvov,26,2022,loc,49.841952,24.0315921,Ukraine
Ternopol,3,2022,loc,46.8360826,29.6665244,Moldova
Afrique du Nord,1,2022,loc,41.36259895,2.1596649904253766,Spain
Ouganda,144,2022,loc,1.5333554,32.2166578,Uganda
Congo-Brazzaville,10,2022,loc,-0.7264327,15.6419155,Congo-Brazzaville
CBLT,1,2022,loc,13.2838167,12.60775,Niger
Abuja,33,2022,loc,9.0643305,7.4892974,Nigeria
lac Tchad,11,2022,loc,13.02085805,14.580180631435825,Chad
Pays-Bas,86,2022,loc,52.24764975,5.541246849406163,Netherlands
Équateur,19,2022,loc,0.06196,19.140776748297156,Democratic Republic of the Congo
Dakar,66,2022,loc,14.693425,-17.447938,Senegal
Immense,2,2022,loc,17.442365,78.4501653,India
Palais de la République,2,2022,loc,47.02423825,28.82479989029498,Moldova
sénégalais,1,2022,loc,13.6435333,16.4925,Chad
Yellowstone,1,2022,loc,45.9645464,-108.276076,United States
Université Nanyang,1,2022,loc,1.3484104,103.68293320728536,Singapore
Singapour,11,2022,loc,1.2899175,103.8519072,Singapore
Aybak,1,2022,loc,36.222403,67.976013,Afghanistan
Kaboul,26,2022,loc,34.5227939,69.1742023,Afghanistan
Alberta,4,2022,loc,54.49800685,-115.0035537455073,Canada
Canada,89,2022,loc,61.0666922,-107.991707,Canada
El Ali,1,2022,loc,34.7494006,36.2001712,Syria
Okinawa,3,2022,loc,26.5707754,128.0255901,Japan
Colombie-Britannique,2,2022,loc,54.13880015,-125.47052240062725,Canada
Pentagone,78,2022,loc,50.84648845,4.353684679828564,Belgium
Halifax,2,2022,loc,44.648618,-63.5859487,Canada
Las Palmas,1,2022,loc,27.9580004,-15.6062305376665,Spain
Gambie,26,2022,loc,13.470062,-15.4900464,The Gambia
Salvamento Maritimo,1,2022,loc,43.322454,-1.9906664,Spain
îles Canaries,2,2022,loc,28.2935785,-16.621447121144122,Spain
Brésil,135,2022,loc,-10.3333333,-53.2,Brazil
Ambassade de France,1,2022,loc,38.91395495,-77.07858040157586,United States
Missabougou,2,2022,loc,12.6330146,-7.9204565,Mali
Franco-sénégalais,3,2022,loc,47.4717953,3.5207145,France
Cour constitutionnelle,13,2022,loc,-4.3170383,15.2834513,Democratic Republic of the Congo
Liban,68,2022,loc,33.8750629,35.843409,Lebanon
Irlande,30,2022,loc,52.865196,-7.9794599,Ireland
îles Marshall,3,2022,loc,8.230816999999998,167.7953223704529,Marshall Islands
Bossangoa,9,2022,loc,6.4924441,17.4463162,Central African Republic
Coordonnateur,1,2022,loc,41.7074753,44.77437010621469,Georgia
Sri Lanka,15,2022,loc,7.5554942,80.7137847,Sri Lanka
Razoni,27,2022,loc,39.732937,64.4711225,Uzbekistan
Guinée-Bissau,24,2022,loc,11.815215,-15.2351044,Guinea-Bissau
place de Nation,1,2022,loc,48.84837495,2.395870461004627,France
Ouagadougou,82,2022,loc,12.3681873,-1.5270944,Burkina Faso
Savane FM,1,2022,loc,12.3313641,-1.5497442,Burkina Faso
pont de Crimée,80,2022,loc,48.88837125,2.379405,France
détroit de Kertch,6,2022,loc,45.28103758137055,36.54924553897894,Ukraine
Sébastopol,44,2022,loc,44.6054434,33.5220842,Ukraine
Krasnodar,24,2022,loc,45.0351532,38.9772396,Russia
Congo,64,2022,loc,-2.9814344,23.8222636,Democratic Republic of the Congo
Ituri,20,2022,loc,1.8330623,29.4980774,Democratic Republic of the Congo
DRC,1,2022,loc,-2.9814344,23.8222636,Democratic Republic of the Congo
République démocratique du Congo,87,2022,loc,-2.9814344,23.8222636,Democratic Republic of the Congo
stade Gerland,1,2022,loc,45.723776150000006,4.832254170853934,France
Lyon,18,2022,loc,45.7578137,4.8320114,France
Empire du mal,1,2022,loc,48.8903108,2.1535824,France
Serbie,81,2022,loc,44.02432285,21.07657433209902,Serbia
Iran-États-Unis,2,2022,loc,39.777073583989576,-104.75191589611418,United States
Paris Saint-Germain,2,2022,loc,48.8497699,2.3505928,France
Cnuced,3,2022,loc,46.2281884,6.1419399,Switzerland
Istanbul,200,2022,loc,41.0766019,29.052495,Turkey
Koupiansk,41,2022,loc,49.7132963,37.6141992,Ukraine
Pélikan,1,2022,loc,52.0806246,16.6098694,Poland
Osa,2,2022,loc,57.2829207,55.4602059,Russia
RPL,30,2022,loc,-51.25374270575588,-72.24263715673831,Argentina
RPD,43,2022,loc,23.7303696,80.5764824,India
musée Horniman,3,2022,loc,51.442179550000006,-0.0613244706171388,United Kingdom
royaume du Bénin,10,2022,loc,6.4717652,2.6339694362375563,Benin
Nigéria,32,2022,loc,9.6000359,7.9999721,Nigeria
Bénin,60,2022,loc,9.5293472,2.2584408,Benin
Benin City,7,2022,loc,6.3330586,5.6221058,Nigeria
Edo,4,2022,loc,6.6076575,5.9722713,Nigeria
SIB,1,2022,loc,29.5476446,67.8701026,Pakistan
El Jadida,2,2022,loc,33.22932285,-8.499356736652636,Morocco
Luapula,1,2022,loc,-10.4680244,29.1275609,Zambia
Mauritanie,50,2022,loc,20.2540382,-9.2399263,Mauritania
Provenance,1,2022,loc,-34.879136450000004,138.51882167101394,Australia
Azov,22,2022,loc,47.0884477,39.42407455913039,Russia
Espagne-Allemagne,1,2022,loc,52.5103662,13.34544061617052,Germany
Namibie,49,2022,loc,-23.2335499,17.3231107,Namibia
Marrakech,12,2022,loc,31.6258257,-7.9891608,Morocco
Mauna Loa,4,2022,loc,19.4717348,-155.592374,United States
Hawaï,12,2022,loc,19.5938015,-155.42837009716908,United States
Les,3,2022,loc,42.9112153,0.7001009619092323,France
